Symbol,marketCap,trailingPE,forwardPE,priceToBook,trailingEps,forwardEps,bookValue,payoutRatio,beta,fiveYearAvgDividendYield,52WeekChange,averageVolume,enterpriseToRevenue,profitMargins
AAPL,8.791352123510933,-0.013171957894019362,0.21395006072740166,0.5426963924249362,-0.03693340856203381,-0.09374727588805114,-0.04641933790753436,-0.09792019469735061,0.26631757950027746,-0.8261691916651819,0.4437846635849006,3.5755255778386923,0.6249758642440034,0.9456941402690057
NVDA,11.216639958005906,0.23519588912672254,0.686894449913681,0.5071062907432861,-0.20729878249148956,-0.24904130401731106,-0.04646170968460046,-0.11209433070246369,2.6638162938868963,-1.1314045607973329,1.1199895971180267,12.791693019208026,3.2966915784193875,2.7679077562112253
MSFT,8.487851266297671,-0.006109862737756227,0.2724763437722052,0.11536752945175793,0.24786931250185432,0.15235113623087143,-0.04430321028501501,-0.08667590803407657,0.10089249813832378,-0.6508212136530951,0.5819560505134224,1.077024963520045,1.0877001553602925,1.573989356690324
AMZN,5.911475237203534,-0.015219592768784583,0.4505730454132681,0.08338356257148519,-0.053281601009809866,-0.17380338585444766,-0.0449910519006452,-0.1133839168992577,0.7020146247775343,-1.170370778133352,0.4841919167856246,2.9097119185112663,-0.16799541582849203,-0.1871242506475037
GOOGL,7.537972877580694,-0.09972446030835767,0.1950854697563274,0.09831134783912124,0.07750393857239855,-0.06965631687038551,-0.045114306477668946,-0.10423237976586865,0.04730409149994476,-1.170370778133352,1.7164011376335735,2.0455451837930867,0.47952119370905555,1.3257300080232735
GOOG,7.531481726332467,-0.09929845085027278,0.19720856880764048,0.09843452312535471,0.07750393857239855,-0.07002694700911889,-0.045114306477668946,-0.10423237976586865,0.04730409149994476,-1.170370778133352,1.6808840016997442,1.1593528076374024,0.4820896311999141,1.3257300080232735
META,3.3796563847954433,-0.0981693597974384,0.023819318030426744,0.09265895656688963,0.6157036425768155,0.5359533298198548,-0.042945190004103365,-0.10299935391469325,0.5202800283517268,-1.170370778133352,0.22337037980686222,0.5351212357467043,0.47925083186791245,1.2298990296601484
TSLA,3.2661951224387353,3.055851742496518,3.1884414752470893,0.20298371744112034,-0.29506276300060313,-0.28165675622584296,-0.04549917540944828,-0.1133839168992577,2.5776088571208073,-1.170370778133352,2.170006858351456,5.993022469960226,1.4165953351107838,-0.5979602402833247
AVGO,3.6189738574649946,0.5949678609478158,0.9135046754758928,0.07133123023089205,-0.18922972768078972,-0.17306212557698106,-0.04380222917143492,-0.046676111614220375,0.5319296819687656,0.2194243068513356,3.244884348057114,1.2620363943117943,-0.28249365555256356,1.2799225455316174
BRK-B,2.0509406074485605,-0.2261993541232511,-0.016395447815798787,0.010952365992284266,0.897494854505587,0.3424843974010631,22.36057019397072,-0.1133839168992577,-0.48857997488384747,-1.170370778133352,0.05340243109078389,-0.13468255978337337,-0.7695505123717251,0.23700363031485627
WMT,1.5574771314709746,0.011297027720360875,0.3457982451083133,0.09963261905835259,-0.2438671077036202,-0.3009295234399755,-0.04611491744086802,-0.0756013015026856,-0.7192431165012189,-0.29363088807291826,0.44136305622297345,0.774646185095568,-0.5216287040435701,-0.7576781802443718
LLY,1.543168713611309,0.07062463281351053,0.4045332532471812,0.34391008447950416,0.5219166437974687,0.43810697319425906,-0.04537843032263801,-0.08123475925637554,-1.2085285684168554,-0.5144394529770276,0.046242213643824095,-0.11896004929563445,1.1406910762243259,1.2366164732200318
JPM,1.6309460192179843,-0.23675836134621583,-0.15452609313582993,0.03536220104360395,0.5107310384384641,0.21869393106413518,-0.04062970268789369,-0.08228679010112855,0.3432052933727344,0.4337385021994417,0.9985466888909855,0.1397392068854401,-0.42957049713436973,1.5035278044014146
V,1.1949468434378796,-0.0455490108419907,0.061084489664378114,0.17680753386351375,0.0805154477075152,0.06747683446094183,-0.04569327482557574,-0.08720757953626357,-0.19267877301105782,-0.7352480178811369,0.3064546729448919,-0.016479478720325944,1.5163588544925606,2.605760102622135
MA,0.8230575954442118,-0.026473198906519283,0.23619227553390637,0.6221323189789678,0.31412251347442044,0.2053512460697358,-0.04623643467851321,-0.09211705681177759,-0.02958362237251246,-0.832663561221185,0.10714302866692364,-0.25736386687610713,1.4733713217508193,2.2577395708742696
ORCL,1.3863544861592487,0.23995009173250648,0.31035610368808264,0.31010777535825024,-0.1715908884608208,-0.13636974184238262,-0.046249899058697086,-0.0662461500209824,1.2844973056294824,-0.31311399674092794,1.352137637691829,1.2656903854324038,1.249511717284394,0.5287121900110505
XOM,0.8148639846308815,-0.22368466526008046,-0.2612431080165253,0.02910372758555625,-0.061885912824428846,-0.11005500199231712,-0.043678347221857795,-0.04827112612078138,-1.1549401617784762,1.5572644353879976,-0.2647353641396221,0.6462923737440794,-0.4767486384138278,-0.3216160819073071
UNH,0.3975354049486839,-0.2145228104001052,-0.34851273497905033,0.04208530781928923,0.4681396949561001,0.7064431936371807,-0.041557972769746404,-0.06256969927537334,-1.168919746118923,-0.20270971428887335,-1.2876006007327427,0.5339094110728826,-0.5767825196367474,-0.6888601148383368
COST,0.6464513769942183,0.14679839842757583,0.6058359323623121,0.15007184822495076,0.4264087826551981,0.3276591918517305,-0.04348482691885653,-0.08281846160331555,-0.03657341454273584,-0.7677198656611529,-0.0864316994297801,-0.2816976497887716,-0.4956739672938396,-0.767397034756543
PG,0.49699248472075325,-0.16933540169288674,-0.11557314366427893,0.0759314035008108,-0.06274634400589073,-0.1267333582353164,-0.04557595615809541,-0.045239467342353366,-1.4345318485874112,0.40126665441942544,-0.41911091290877495,0.07366482120748799,-0.09107747202330112,0.43288149749658794
HD,0.5671948305928479,-0.12505282655482397,-0.0014420925345817691,0.35912319409680815,0.27583332589936604,0.17644209524853707,-0.04614290790863379,-0.04340689748375136,0.049634022223352295,0.3298285893033902,-0.30055347135556193,-0.19809645644237178,-0.024027735419830585,-0.3443410148149774
NFLX,0.7718043224083522,0.09338731711042324,0.5820956536470735,0.18810831150958582,0.6720618849625699,0.4796175487323906,-0.043704262534254724,-0.1133839168992577,1.4289530104807655,-1.170370778133352,1.1694606670292607,-0.19967608446451435,0.8101737254269764,0.7407405066027135
JNJ,0.7320694582861802,-0.207934570466132,-0.17860141380846178,0.0667082211487181,0.08739889715921038,-0.008872974118121532,-0.04507019736122427,-0.0578638352169575,-1.3692937883319931,0.6415583279915444,0.3970154480044887,0.17678557568626835,0.01612099798990875,0.9702769822872251
BAC,0.6036641262731776,-0.24417462725400244,-0.2564972636140321,0.024863656825980494,-0.20041533303979436,-0.26609029039904364,-0.044828707187603734,-0.08062390489927346,0.8255009531181476,0.35580606752740307,0.6326645952965588,2.107203913316686,-0.1515033435187674,1.1107002804793225
CRM,0.27513372141303355,0.00811639997554074,-0.021925416609396044,0.0510856974765944,-0.06231612841515979,0.010770423234744322,-0.04356107681380466,-0.08655147540946152,0.5016405825644644,-1.170370778133352,-0.5097182200782046,0.24647243834320048,0.14481323437398916,0.2277136202580347
ABBV,0.5622478437161711,1.3158467003334722,-0.18119101556619918,-20.093222513121884,-0.30065556568010543,0.04783343710807604,-0.04666521968902849,0.441081552987581,-1.1013517551400969,1.2845009140358625,0.07659613755225461,-0.055566760376006004,0.3270371153043887,-0.6915756771285023
KO,0.37473086322840543,-0.15931827280955763,-0.03770598295319267,0.10325607553848598,-0.22794913084657512,-0.2916637699716425,-0.046309692488976026,-0.037909187907945334,-1.2947360051829435,0.7389738713315925,-0.0006771413650683791,0.722798531489417,0.24673964848491006,0.9760654176952093
TMUS,0.22627535581473934,-0.19078019872029128,-0.13926397213810107,0.04803571088037779,0.08868954393140328,-0.006278563146988302,-0.044050861740278446,-0.07502438362444652,-0.9242770201611048,-1.170370778133352,-0.36859718749791437,-0.12729125059600632,-0.13555199489132888,0.010397103417102253
CVX,0.4158241906435976,-0.168386915196263,-0.2745534160538528,0.0288749887017288,-0.05199095423761701,0.0074347519861444064,-0.04257103466515852,-0.005827903222789189,-0.38839295377731253,1.5637588049440008,-0.07449481985892023,0.09389908263425067,-0.47742454301668535,-0.4942686380983227
MRK,0.1774358972819003,-0.2842976496649004,-0.4118306271001726,0.05251506840025808,-0.03263125265472434,-0.05334859076611957,-0.04571561894036117,-0.06490000076365146,-1.413562472076741,0.8104119364476279,-0.5938168163280573,0.42262575183191853,-0.18300049801192994,1.1398567010915044
WFC,0.3347907544867776,-0.2468872740593648,-0.2228827394808544,0.027422372598117233,-0.09673337567363569,-0.1982649750108466,-0.04413845260061443,-0.08263746704937955,0.6064874651178149,0.27137926329936135,0.8639175552616247,0.6319567790490849,-0.1821894124885009,0.9252558180029034
